clip	start	end	sound	show					
DSC_0108.MOV	200	500	1	1					
DSC_0108.MOV	700	810	0.2	1					
DSC_0108.MOV	1000	1224	0.5	1					
DSC_0102.MOV	1	216	0.5	0					
DSC_0103.MOV	1	300	0.5	0					
DSC_0105.MOV	1	300	0.5	0					
DSC_0106.MOV	1	356	0.5	0					
DSC_0107.MOV	1	953	0.5	0					
DSC_0108.MOV	1	1232	0.5	0					
DSC_0109.MOV	1	624	0.5	0					
DSC_0109.MOV	765	905	0.5	0					
DSC_0127.MOV	1032	1244	0.5	0					
DSC_0127.MOV	413	618	0.5	0					
									
text	start	end	font	size	x	y	color	shadow	box
hello	1	100	Arial	60	0.1	0.1	ffffff	1	1
